Core,Subst,chembl_id
c1ccc(N2CCN(c3nnc(-c4cc([*:2])c([*:1])c([*:3])c4[*:4])o3)CC2)nc1,Br[*:1].[*:2].[*:3].[*:4],CHEMBL4779999
c1ccc(N2CCN(c3nnc(-c4cc([*:2])c([*:1])c([*:3])c4[*:4])o3)CC2)nc1,C[*:1].[*:2].[*:3].[*:4],CHEMBL4743358
c1ccc(N2CCN(c3nnc(-c4cc([*:2])c([*:1])c([*:3])c4[*:4])o3)CC2)nc1,Cl[*:1].[*:2].[*:3].[*:4],CHEMBL4756730
c1ccc(N2CCN(c3nnc(-c4cc([*:2])c([*:1])c([*:3])c4[*:4])o3)CC2)nc1,FC(F)(F)O[*:1].[*:2].[*:3].[*:4],CHEMBL4793365
c1ccc(N2CCN(c3nnc(-c4cc([*:2])c([*:1])c([*:3])c4[*:4])o3)CC2)nc1,FC(F)(F)[*:1].[*:2].[*:3].[*:4],CHEMBL4764740
c1ccc(N2CCN(c3nnc(-c4cc([*:2])c([*:1])c([*:3])c4[*:4])o3)CC2)nc1,F[*:1].[*:2].[*:3].[*:4],CHEMBL4761911
c1ccc(N2CCN(c3nnc(-c4cc([*:2])c([*:1])c([*:3])c4[*:4])o3)CC2)nc1,O=[N+]([O-])[*:1].[*:2].[*:3].[*:4],CHEMBL4754304
c1ccc(N2CCN(c3nnc(-c4cc([*:2])c([*:1])c([*:3])c4[*:4])o3)CC2)nc1,O[*:1].[*:2].[*:3].[*:4],CHEMBL4746180
c1ccc(N2CCN(c3nnc(-c4cc([*:2])c([*:1])c([*:3])c4[*:4])o3)CC2)nc1,C[*:3].[*:1].[*:2].[*:4],CHEMBL4752466
c1ccc(N2CCN(c3nnc(-c4cc([*:2])c([*:1])c([*:3])c4[*:4])o3)CC2)nc1,O[*:4].[*:1].[*:2].[*:3],CHEMBL4782180
c1ccc(N2CCN(c3nnc(-c4cc([*:2])c([*:1])c([*:3])c4[*:4])o3)CC2)nc1,CO[*:3].CO[*:4].[*:1].[*:2],CHEMBL4744191
c1ccc(N2CCN(c3nnc(-c4cc([*:2])c([*:1])c([*:3])c4[*:4])o3)CC2)nc1,F[*:1].F[*:4].[*:2].[*:3],CHEMBL4759108
c1ccc(N2CCN(c3nnc(-c4cc([*:2])c([*:1])c([*:3])c4[*:4])o3)CC2)nc1,O[*:4].O[*:1].[*:2].[*:3],CHEMBL4761564
c1ccc(N2CCN(c3nnc(-c4cc([*:2])c([*:1])c([*:3])c4[*:4])o3)CC2)nc1,CO[*:2].CO[*:1].CO[*:3].[*:4],CHEMBL4745534
C(=NC1CCN(Cc2ccccc2)C1)c1ccc([*:1])cc1[*:2],Br[*:1].[*:2],CHEMBL4794000
C(=NC1CCN(Cc2ccccc2)C1)c1ccc([*:1])cc1[*:2],Cl[*:1].[*:2],CHEMBL4785769
