nonstereo_aromatic_smiles,pPot,chembl_cid,chembl_tid
Brc1ccc(-c2nc3ccc(Nc4ccnc5ccccc45)cc3[nH]2)cc1,6.7447274948966935,CHEMBL3323605,CHEMBL279
Brc1ccc(-c2nc3ccc(Nc4ncnc5ccccc45)cc3[nH]2)cc1,6.42021640338319,CHEMBL3321905,CHEMBL279
Brc1ccc(-c2nnc(CSc3nnc(-c4ccncc4)o3)o2)cc1,7.275724130399211,CHEMBL4529762,CHEMBL230
Brc1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1,6.899629454882437,CHEMBL4779999,CHEMBL4822
Brc1ccc(-c2nnc3sc(-c4ccoc4)nn23)cc1,5.7495799976911055,CHEMBL2375482,CHEMBL220
Brc1ccc(-n2cc(CSc3nc4ccccc4o3)nn2)cc1,5.552841968657781,CHEMBL3264695,CHEMBL230
Brc1ccc(C=C2CNCC3=C2N=C2SC=C(c4ccc5ccccc5c4)N2C3c2ccc(Br)cc2)cc1,6.136677139879544,CHEMBL3948489,CHEMBL220
Brc1ccc(C=C2CNCC3=C2N=C2SC=C(c4ccccc4)N2C3c2ccc(Br)cc2)cc1,5.8297382846050425,CHEMBL3958208,CHEMBL220
Brc1ccc(C=NC2CCN(Cc3ccccc3)C2)cc1,5.885055584287415,CHEMBL4794000,CHEMBL220
Brc1ccc(C=NC2CCN(Cc3ccccc3)C2)cc1,5.756465898167939,CHEMBL4794000,CHEMBL4822
Brc1ccc(C=NNc2nnc(-c3ccncc3)o2)cc1,6.958607314841775,CHEMBL4444316,CHEMBL230
Brc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,6.876148359032914,CHEMBL4741398,CHEMBL220
Brc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,6.188424994129407,CHEMBL4741398,CHEMBL4822
Brc1ccc(CNc2ccnc(NC3CCN(Cc4ccccc4)CC3)n2)cc1,5.00436480540245,CHEMBL2047226,CHEMBL220
Brc1ccc(OCCOc2nc3ccccc3s2)c(Br)c1,6.443697499232712,CHEMBL4793035,CHEMBL230
Brc1ccc(OCCOc2nc3ccccc3s2)cc1,6.301029995663981,CHEMBL4800449,CHEMBL230
Brc1ccc(Oc2ccc(OCCN3CCCC3)cc2)cc1,5.292429823902063,CHEMBL1775104,CHEMBL230
Brc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,7.300509466670935,CHEMBL330004,CHEMBL220
Brc1ccc2c(c1)-c1nc3cc(Br)ccc3n1CCO2,7.036212172654444,CHEMBL3401253,CHEMBL4005
Brc1cccc(-c2nnc3sc(-c4ccoc4)nn23)c1,6.46344155742847,CHEMBL2375483,CHEMBL220
Brc1ccccc1-n1cc(CSc2nc3ccccc3o2)nn1,5.560667306169737,CHEMBL3264698,CHEMBL230
Brc1cnn2c(NCOc3cccnc3)cc(-c3ccccc3)nc12,6.221848749616356,CHEMBL250148,CHEMBL262
